date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-17,MS,,state,89654,1699,249,True,2778986,2809394,50,3191.22202,0.0190
2020-11-16,MS,,state,88965,1697,248,False,2778986,2809394,50,3166.69716,0.0191
2020-11-15,MS,,state,88111,1693,247,False,2778986,2809394,50,3136.29914,0.0192
2020-11-14,MS,,state,87935,1690,246,False,2778986,2809394,50,3130.03445,0.0192
2020-11-13,MS,,state,87602,1688,245,False,2778986,2809394,50,3118.18136,0.0193
2020-11-12,MS,,state,87081,1683,244,False,2778986,2809394,50,3099.63643,0.0193
2020-11-11,MS,,state,86428,1674,243,False,2778986,2809394,50,3076.39299,0.0194
2020-11-10,MS,,state,85990,1645,242,False,2778986,2809394,50,3060.80244,0.0191
2020-11-09,MS,,state,85507,1640,241,False,2778986,2809394,50,3043.61012,0.0192
2020-11-08,MS,,state,85126,1634,240,False,2778986,2809394,50,3030.04847,0.0192
2020-11-07,MS,,state,84930,1634,239,False,2778986,2809394,50,3023.07188,0.0192
2020-11-06,MS,,state,84720,1634,238,False,2778986,2809394,50,3015.59696,0.0193
2020-11-05,MS,,state,84159,1634,237,False,2778986,2809394,50,2995.62824,0.0194
2020-11-04,MS,,state,83616,1629,236,False,2778986,2809394,50,2976.30023,0.0195
2020-11-03,MS,,state,83439,1622,235,False,2778986,2809394,50,2969.99994,0.0194
2020-11-02,MS,,state,83022,1612,234,False,2778986,2809394,50,2955.15688,0.0194
2020-11-01,MS,,state,82884,1609,233,False,2778986,2809394,50,2950.24479,0.0194
2020-10-31,MS,,state,82618,1602,232,False,2778986,2809394,50,2940.77655,0.0194
2020-10-30,MS,,state,82344,1592,231,False,2778986,2809394,50,2931.02356,0.0193
2020-10-29,MS,,state,81998,1588,230,False,2778986,2809394,50,2918.70774,0.0194
2020-10-28,MS,,state,81443,1581,229,False,2778986,2809394,50,2898.95259,0.0194
2020-10-27,MS,,state,81033,1570,228,False,2778986,2809394,50,2884.35869,0.0194
2020-10-26,MS,,state,80538,1566,227,False,2778986,2809394,50,2866.73923,0.0194
2020-10-25,MS,,state,80064,1555,226,False,2778986,2809394,50,2849.86727,0.0194
2020-10-24,MS,,state,79901,1553,225,False,2778986,2809394,50,2844.06530,0.0194
2020-10-23,MS,,state,79599,1548,224,False,2778986,2809394,50,2833.31565,0.0194
2020-10-22,MS,,state,79120,1538,223,False,2778986,2809394,50,2816.26571,0.0194
2020-10-21,MS,,state,78710,1524,222,False,2778986,2809394,50,2801.67182,0.0194
2020-10-20,MS,,state,78360,1518,221,False,2778986,2809394,50,2789.21362,0.0194
2020-10-19,MS,,state,77943,1512,220,False,2778986,2809394,50,2774.37056,0.0194
2020-10-18,MS,,state,77490,1497,219,False,2778986,2809394,50,2758.24608,0.0193
2020-10-17,MS,,state,77123,1493,218,False,2778986,2809394,50,2745.18277,0.0194
2020-10-16,MS,,state,77011,1486,217,False,2778986,2809394,50,2741.19614,0.0193
2020-10-15,MS,,state,76547,1478,216,False,2778986,2809394,50,2724.68013,0.0193
2020-10-14,MS,,state,76001,1469,215,False,2778986,2809394,50,2705.24533,0.0193
2020-10-13,MS,,state,75561,1464,214,False,2778986,2809394,50,2689.58359,0.0194
