date,region,city,place_type,iso,cases,deaths,hospitalized,critical
2020-03-30,Melilla,,autonomous_community,ME,54,1,27,3
2020-03-29,Melilla,,autonomous_community,ME,51,1,27,3
2020-03-28,Melilla,,autonomous_community,ME,48,1,24,2
2020-03-27,Melilla,,autonomous_community,ME,45,1,22,2
2020-03-26,Melilla,,autonomous_community,ME,42,1,18,2
2020-03-25,Melilla,,autonomous_community,ME,39,1,16,2
2020-03-24,Melilla,,autonomous_community,ME,38,0,14,2
2020-03-23,Melilla,,autonomous_community,ME,28,0,12,1
2020-03-22,Melilla,,autonomous_community,ME,28,0,12,1
2020-03-21,Melilla,,autonomous_community,ME,25,0,12,1
2020-03-20,Melilla,,autonomous_community,ME,25,0,8,1
2020-03-19,Melilla,,autonomous_community,ME,24,0,5,1
2020-03-18,Melilla,,autonomous_community,ME,23,0,4,0
2020-03-17,Melilla,,autonomous_community,ME,20,0,4,0
2020-03-16,Melilla,,autonomous_community,ME,17,0,4,0
2020-03-15,Melilla,,autonomous_community,ME,8,0,4,0
2020-03-14,Melilla,,autonomous_community,ME,8,0,4,0
2020-03-13,Melilla,,autonomous_community,ME,3,0,3,0
2020-03-12,Melilla,,autonomous_community,ME,2,0,3,0
2020-03-11,Melilla,,autonomous_community,ME,0,0,0,0
2020-03-10,Melilla,,autonomous_community,ME,0,0,0,0
2020-03-09,Melilla,,autonomous_community,ME,,0,,0
2020-03-08,Melilla,,autonomous_community,ME,0,0,,0
2020-03-07,Melilla,,autonomous_community,ME,0,,,
2020-03-06,Melilla,,autonomous_community,ME,0,,,
2020-03-05,Melilla,,autonomous_community,ME,0,,,
2020-03-04,Melilla,,autonomous_community,ME,0,,,
2020-03-03,Melilla,,autonomous_community,ME,0,,,
2020-03-02,Melilla,,autonomous_community,ME,0,,,
2020-03-01,Melilla,,autonomous_community,ME,,,,
2020-02-29,Melilla,,autonomous_community,ME,,,,
2020-02-28,Melilla,,autonomous_community,ME,,,,
2020-02-27,Melilla,,autonomous_community,ME,,,,
2020-02-26,Melilla,,autonomous_community,ME,,,,
2020-02-25,Melilla,,autonomous_community,ME,,,,
2020-02-24,Melilla,,autonomous_community,ME,,,,
2020-02-23,Melilla,,autonomous_community,ME,,,,
2020-02-22,Melilla,,autonomous_community,ME,,,,
2020-02-21,Melilla,,autonomous_community,ME,,,,
2020-02-20,Melilla,,autonomous_community,ME,,,,
