date,region,city,place_type,iso,cases,deaths,hospitalized,critical
2020-05-20,Ceuta,,autonomous_community,CE,178,4,11,4
2020-05-19,Ceuta,,autonomous_community,CE,178,4,11,4
2020-05-18,Ceuta,,autonomous_community,CE,176,4,11,4
2020-05-17,Ceuta,,autonomous_community,CE,175,4,11,4
2020-05-16,Ceuta,,autonomous_community,CE,175,4,11,4
2020-05-15,Ceuta,,autonomous_community,CE,175,4,11,4
2020-05-14,Ceuta,,autonomous_community,CE,175,4,11,4
2020-05-13,Ceuta,,autonomous_community,CE,175,4,11,4
2020-05-12,Ceuta,,autonomous_community,CE,173,4,11,4
2020-05-11,Ceuta,,autonomous_community,CE,173,4,11,4
2020-05-10,Ceuta,,autonomous_community,CE,169,4,11,4
2020-05-09,Ceuta,,autonomous_community,CE,169,4,11,4
2020-05-08,Ceuta,,autonomous_community,CE,169,4,11,4
2020-05-07,Ceuta,,autonomous_community,CE,168,4,11,4
2020-05-06,Ceuta,,autonomous_community,CE,165,4,10,4
2020-05-05,Ceuta,,autonomous_community,CE,164,4,10,4
2020-05-04,Ceuta,,autonomous_community,CE,155,4,10,4
2020-05-03,Ceuta,,autonomous_community,CE,152,4,10,4
2020-05-02,Ceuta,,autonomous_community,CE,152,4,10,4
2020-05-01,Ceuta,,autonomous_community,CE,152,4,10,4
2020-04-30,Ceuta,,autonomous_community,CE,151,4,10,4
2020-04-29,Ceuta,,autonomous_community,CE,146,4,10,4
2020-04-28,Ceuta,,autonomous_community,CE,139,4,10,4
2020-04-27,Ceuta,,autonomous_community,CE,134,4,10,4
2020-04-26,Ceuta,,autonomous_community,CE,131,4,10,4
2020-04-25,Ceuta,,autonomous_community,CE,131,4,10,4
2020-04-24,Ceuta,,autonomous_community,CE,125,4,10,4
2020-04-23,Ceuta,,autonomous_community,CE,125,4,10,4
2020-04-22,Ceuta,,autonomous_community,CE,124,4,9,4
2020-04-21,Ceuta,,autonomous_community,CE,124,4,9,4
2020-04-20,Ceuta,,autonomous_community,CE,114,4,9,4
2020-04-19,Ceuta,,autonomous_community,CE,114,4,9,4
2020-04-18,Ceuta,,autonomous_community,CE,112,4,9,4
2020-04-17,Ceuta,,autonomous_community,CE,111,4,9,4
2020-04-16,Ceuta,,autonomous_community,CE,101,4,9,4
2020-04-15,Ceuta,,autonomous_community,CE,100,4,9,4
2020-04-14,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-13,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-12,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-11,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-10,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-09,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-08,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-07,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-06,Ceuta,,autonomous_community,CE,,4,9,4
2020-04-05,Ceuta,,autonomous_community,CE,,3,9,4
2020-04-04,Ceuta,,autonomous_community,CE,,2,9,4
2020-04-03,Ceuta,,autonomous_community,CE,,1,8,4
2020-04-02,Ceuta,,autonomous_community,CE,,1,8,3
2020-04-01,Ceuta,,autonomous_community,CE,,1,7,3
2020-03-31,Ceuta,,autonomous_community,CE,,1,6,3
2020-03-30,Ceuta,,autonomous_community,CE,,1,3,3
2020-03-29,Ceuta,,autonomous_community,CE,,1,2,2
2020-03-28,Ceuta,,autonomous_community,CE,,1,2,2
2020-03-27,Ceuta,,autonomous_community,CE,,1,2,2
2020-03-26,Ceuta,,autonomous_community,CE,,0,2,2
2020-03-25,Ceuta,,autonomous_community,CE,,0,2,2
2020-03-24,Ceuta,,autonomous_community,CE,,0,2,1
2020-03-23,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-22,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-21,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-20,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-19,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-18,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-17,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-16,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-15,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-14,Ceuta,,autonomous_community,CE,,0,0,0
2020-03-13,Ceuta,,autonomous_community,CE,,0,0,0
