date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-03-05,Comunidad Valenciana,,autonomous_community,VC,,,130,8,
2020-03-04,Comunidad Valenciana,,autonomous_community,VC,,,117,6,
2020-03-03,Comunidad Valenciana,,autonomous_community,VC,,,105,5,
2020-03-02,Comunidad Valenciana,,autonomous_community,VC,,,93,3,
2020-03-01,Comunidad Valenciana,,autonomous_community,VC,,,88,3,
2020-02-29,Comunidad Valenciana,,autonomous_community,VC,,,85,3,
2020-02-28,Comunidad Valenciana,,autonomous_community,VC,,,78,3,
2020-02-27,Comunidad Valenciana,,autonomous_community,VC,,,73,3,
2020-02-26,Comunidad Valenciana,,autonomous_community,VC,,,63,3,
2020-02-25,Comunidad Valenciana,,autonomous_community,VC,,,58,2,
2020-02-24,Comunidad Valenciana,,autonomous_community,VC,,,49,2,
2020-02-23,Comunidad Valenciana,,autonomous_community,VC,,,38,2,
2020-02-22,Comunidad Valenciana,,autonomous_community,VC,,,33,1,
2020-02-21,Comunidad Valenciana,,autonomous_community,VC,,,30,1,
2020-02-20,Comunidad Valenciana,,autonomous_community,VC,,,26,0,
