date,region,city,place_type,iso,cases,deaths,hospitalized,critical
2020-05-20,Cataluña,,autonomous_community,CT,57531,6021,29497,2969
2020-05-19,Cataluña,,autonomous_community,CT,57531,6021,29497,2969
2020-05-18,Cataluña,,autonomous_community,CT,57468,5981,29459,2960
2020-05-17,Cataluña,,autonomous_community,CT,57564,5956,29421,2957
2020-05-16,Cataluña,,autonomous_community,CT,57467,5944,29400,2957
2020-05-15,Cataluña,,autonomous_community,CT,57328,5915,29339,2956
2020-05-14,Cataluña,,autonomous_community,CT,57205,5882,29339,2955
2020-05-13,Cataluña,,autonomous_community,CT,56956,5823,29305,2954
2020-05-12,Cataluña,,autonomous_community,CT,56930,5692,29267,2953
2020-05-11,Cataluña,,autonomous_community,CT,56787,5621,29138,2952
2020-05-10,Cataluña,,autonomous_community,CT,56450,5555,28820,2952
2020-05-09,Cataluña,,autonomous_community,CT,53805,5532,28784,2951
2020-05-08,Cataluña,,autonomous_community,CT,53578,5507,28687,2950
2020-05-07,Cataluña,,autonomous_community,CT,53209,5471,28608,2949
2020-05-06,Cataluña,,autonomous_community,CT,52505,5394,28248,2891
2020-05-05,Cataluña,,autonomous_community,CT,52090,5345,28085,2871
2020-05-04,Cataluña,,autonomous_community,CT,51798,5270,27745,2856
2020-05-03,Cataluña,,autonomous_community,CT,51393,5220,27321,2847
2020-05-02,Cataluña,,autonomous_community,CT,51261,5185,27257,2844
2020-05-01,Cataluña,,autonomous_community,CT,50877,5137,27049,2811
2020-04-30,Cataluña,,autonomous_community,CT,50334,5061,26932,2795
2020-04-29,Cataluña,,autonomous_community,CT,49943,4975,26763,2784
2020-04-28,Cataluña,,autonomous_community,CT,49681,4905,26546,2768
2020-04-27,Cataluña,,autonomous_community,CT,49185,4808,26230,2750
2020-04-26,Cataluña,,autonomous_community,CT,48782,4699,25799,2724
2020-04-25,Cataluña,,autonomous_community,CT,47838,4566,25665,2583
2020-04-24,Cataluña,,autonomous_community,CT,47288,4498,24420,2576
2020-04-23,Cataluña,,autonomous_community,CT,46571,4393,24130,2569
2020-04-22,Cataluña,,autonomous_community,CT,45919,4343,23647,2478
2020-04-21,Cataluña,,autonomous_community,CT,44829,4247,23295,2460
2020-04-20,Cataluña,,autonomous_community,CT,44139,4152,22796,2437
2020-04-19,Cataluña,,autonomous_community,CT,42703,4009,22375,2409
2020-04-18,Cataluña,,autonomous_community,CT,40600,3933,22235,2395
2020-04-17,Cataluña,,autonomous_community,CT,40095,3879,22013,2349
2020-04-16,Cataluña,,autonomous_community,CT,,3752,21242,2305
2020-04-15,Cataluña,,autonomous_community,CT,,3618,20553,2252
2020-04-14,Cataluña,,autonomous_community,CT,,3453,20264,2189
2020-04-13,Cataluña,,autonomous_community,CT,,3201,19224,2102
2020-04-12,Cataluña,,autonomous_community,CT,,3105,18963,2084
2020-04-11,Cataluña,,autonomous_community,CT,,2975,18772,2018
2020-04-10,Cataluña,,autonomous_community,CT,,2877,18194,1989
