date,region,city,place_type,iso,cases,deaths,hospitalized,critical
2020-05-20,Andalucía,,autonomous_community,AN,16546,1375,6210,766
2020-05-19,Andalucía,,autonomous_community,AN,16501,1371,6196,764
2020-05-18,Andalucía,,autonomous_community,AN,16488,1367,6182,760
2020-05-17,Andalucía,,autonomous_community,AN,16457,1358,6178,760
2020-05-16,Andalucía,,autonomous_community,AN,16432,1358,6174,760
2020-05-15,Andalucía,,autonomous_community,AN,16263,1355,6161,758
2020-05-14,Andalucía,,autonomous_community,AN,16068,1344,6146,754
2020-05-13,Andalucía,,autonomous_community,AN,15823,1336,6128,751
2020-05-12,Andalucía,,autonomous_community,AN,15629,1332,6114,750
2020-05-11,Andalucía,,autonomous_community,AN,15522,1326,6101,745
2020-05-10,Andalucía,,autonomous_community,AN,15422,1322,6092,745
2020-05-09,Andalucía,,autonomous_community,AN,15355,1320,6080,745
2020-05-08,Andalucía,,autonomous_community,AN,15180,1317,6069,745
2020-05-07,Andalucía,,autonomous_community,AN,15002,1301,6038,742
2020-05-06,Andalucía,,autonomous_community,AN,14824,1294,6027,742
2020-05-05,Andalucía,,autonomous_community,AN,14593,1281,6012,740
2020-05-04,Andalucía,,autonomous_community,AN,14351,1267,5983,738
2020-05-03,Andalucía,,autonomous_community,AN,14311,1263,5973,738
2020-05-02,Andalucía,,autonomous_community,AN,14251,1256,5961,736
2020-05-01,Andalucía,,autonomous_community,AN,14128,1253,5961,735
2020-04-30,Andalucía,,autonomous_community,AN,13881,1238,5935,729
2020-04-29,Andalucía,,autonomous_community,AN,13624,1207,5873,721
2020-04-28,Andalucía,,autonomous_community,AN,13445,1188,5831,721
2020-04-27,Andalucía,,autonomous_community,AN,13195,1168,5792,721
2020-04-26,Andalucía,,autonomous_community,AN,13108,1157,5767,720
2020-04-25,Andalucía,,autonomous_community,AN,12972,1145,5747,716
2020-04-24,Andalucía,,autonomous_community,AN,12774,1131,5715,716
2020-04-23,Andalucía,,autonomous_community,AN,12449,1107,5675,714
2020-04-22,Andalucía,,autonomous_community,AN,12195,1079,5616,702
2020-04-21,Andalucía,,autonomous_community,AN,11879,1050,5565,696
2020-04-20,Andalucía,,autonomous_community,AN,11648,1017,5509,692
2020-04-19,Andalucía,,autonomous_community,AN,11518,1013,5473,690
2020-04-18,Andalucía,,autonomous_community,AN,11389,993,5424,687
2020-04-17,Andalucía,,autonomous_community,AN,11168,967,5341,677
2020-04-16,Andalucía,,autonomous_community,AN,11018,940,5298,675
2020-04-15,Andalucía,,autonomous_community,AN,10773,912,5226,671
2020-04-14,Andalucía,,autonomous_community,AN,10561,865,5147,665
2020-04-13,Andalucía,,autonomous_community,AN,10283,836,5054,631
2020-04-12,Andalucía,,autonomous_community,AN,,815,4993,621
2020-04-11,Andalucía,,autonomous_community,AN,,799,4950,619
2020-04-10,Andalucía,,autonomous_community,AN,,737,4808,602
2020-04-09,Andalucía,,autonomous_community,AN,,691,4715,582
2020-04-08,Andalucía,,autonomous_community,AN,,652,4599,538
2020-04-07,Andalucía,,autonomous_community,AN,,605,4463,520
2020-04-06,Andalucía,,autonomous_community,AN,,528,4335,499
2020-04-05,Andalucía,,autonomous_community,AN,,491,4227,489
2020-04-04,Andalucía,,autonomous_community,AN,,470,4107,474
2020-04-03,Andalucía,,autonomous_community,AN,,426,3896,364
2020-04-02,Andalucía,,autonomous_community,AN,,376,3673,338
2020-04-01,Andalucía,,autonomous_community,AN,,343,3444,280
2020-03-31,Andalucía,,autonomous_community,AN,,308,3147,260
2020-03-30,Andalucía,,autonomous_community,AN,,248,2867,235
2020-03-29,Andalucía,,autonomous_community,AN,,236,2671,216
2020-03-28,Andalucía,,autonomous_community,AN,,207,2294,201
2020-03-27,Andalucía,,autonomous_community,AN,,175,2106,172
2020-03-26,Andalucía,,autonomous_community,AN,,144,1843,148
2020-03-25,Andalucía,,autonomous_community,AN,,134,1626,134
2020-03-24,Andalucía,,autonomous_community,AN,,113,1433,116
2020-03-23,Andalucía,,autonomous_community,AN,,87,1132,102
2020-03-22,Andalucía,,autonomous_community,AN,,58,865,77
2020-03-21,Andalucía,,autonomous_community,AN,,47,724,55
2020-03-20,Andalucía,,autonomous_community,AN,,40,605,53
2020-03-19,Andalucía,,autonomous_community,AN,,30,501,38
2020-03-18,Andalucía,,autonomous_community,AN,,23,384,25
2020-03-17,Andalucía,,autonomous_community,AN,,19,319,21
2020-03-16,Andalucía,,autonomous_community,AN,,11,229,13
2020-03-15,Andalucía,,autonomous_community,AN,,7,197,11
2020-03-14,Andalucía,,autonomous_community,AN,,6,92,8
2020-03-13,Andalucía,,autonomous_community,AN,,2,92,8
2020-03-12,Andalucía,,autonomous_community,AN,,0,92,8
2020-03-11,Andalucía,,autonomous_community,AN,,0,50,4
2020-03-10,Andalucía,,autonomous_community,AN,,0,32,3
2020-03-09,Andalucía,,autonomous_community,AN,,0,,1
2020-03-08,Andalucía,,autonomous_community,AN,,0,,1
2020-03-07,Andalucía,,autonomous_community,AN,,,,
2020-03-06,Andalucía,,autonomous_community,AN,,,,
2020-03-05,Andalucía,,autonomous_community,AN,,,,
2020-03-04,Andalucía,,autonomous_community,AN,,,,
2020-03-03,Andalucía,,autonomous_community,AN,,,,
2020-03-02,Andalucía,,autonomous_community,AN,,,,
2020-03-01,Andalucía,,autonomous_community,AN,,,,
2020-02-29,Andalucía,,autonomous_community,AN,,,,
2020-02-28,Andalucía,,autonomous_community,AN,,,,
2020-02-27,Andalucía,,autonomous_community,AN,,,,
2020-02-26,Andalucía,,autonomous_community,AN,,,,
2020-02-25,Andalucía,,autonomous_community,AN,,,,
2020-02-24,Andalucía,,autonomous_community,AN,,,,
2020-02-23,Andalucía,,autonomous_community,AN,,,,
2020-02-22,Andalucía,,autonomous_community,AN,,,,
2020-02-21,Andalucía,,autonomous_community,AN,,,,
2020-02-20,Andalucía,,autonomous_community,AN,0,,,
