date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-04-12,Castilla y León,,autonomous_community,CL,12628,1263,6077,312,4154
2020-04-11,Castilla y León,,autonomous_community,CL,12118,1221,5957,323,4010
2020-04-10,Castilla y León,,autonomous_community,CL,11543,1180,5817,327,3757
2020-04-09,Castilla y León,,autonomous_community,CL,11102,1129,5674,332,3506
2020-04-08,Castilla y León,,autonomous_community,CL,10518,1082,5523,338,3242
2020-04-07,Castilla y León,,autonomous_community,CL,10058,1028,5322,342,2988
2020-04-06,Castilla y León,,autonomous_community,CL,9581,982,5180,346,2711
2020-04-05,Castilla y León,,autonomous_community,CL,9116,919,5041,348,2533
2020-04-04,Castilla y León,,autonomous_community,CL,8749,847,4905,351,2331
2020-04-03,Castilla y León,,autonomous_community,CL,8332,786,4685,348,2021
2020-04-02,Castilla y León,,autonomous_community,CL,7875,723,4472,355,1759
2020-04-01,Castilla y León,,autonomous_community,CL,7355,641,4207,353,1498
2020-03-31,Castilla y León,,autonomous_community,CL,6847,585,3951,345,1259
2020-03-30,Castilla y León,,autonomous_community,CL,6211,516,3629,325,1028
2020-03-29,Castilla y León,,autonomous_community,CL,5801,442,3411,307,871
2020-03-28,Castilla y León,,autonomous_community,CL,5414,380,3160,278,752
2020-03-27,Castilla y León,,autonomous_community,CL,4791,321,2648,249,585
2020-03-26,Castilla y León,,autonomous_community,CL,4132,252,2214,228,423
2020-03-25,Castilla y León,,autonomous_community,CL,3488,206,1823,202,308
2020-03-24,Castilla y León,,autonomous_community,CL,2940,165,1457,170,213
2020-03-23,Castilla y León,,autonomous_community,CL,2460,124,1197,137,140
2020-03-22,Castilla y León,,autonomous_community,CL,2055,102,977,120,117
2020-03-21,Castilla y León,,autonomous_community,CL,1744,74,798,106,89
2020-03-20,Castilla y León,,autonomous_community,CL,1466,55,629,85,54
2020-03-19,Castilla y León,,autonomous_community,CL,1147,43,476,69,37
2020-03-18,Castilla y León,,autonomous_community,CL,868,29,362,54,27
2020-03-17,Castilla y León,,autonomous_community,CL,668,22,281,43,5
2020-03-16,Castilla y León,,autonomous_community,CL,431,12,95,24,5
2020-03-15,Castilla y León,,autonomous_community,CL,292,6,45,8,5
2020-03-14,Castilla y León,,autonomous_community,CL,223,3,45,8,3
2020-03-13,Castilla y León,,autonomous_community,CL,169,1,25,8,2
2020-03-12,Castilla y León,,autonomous_community,CL,92,0,25,4,1
2020-03-11,Castilla y León,,autonomous_community,CL,71,0,24,2,0
2020-03-10,Castilla y León,,autonomous_community,CL,64,0,14,2,0
2020-03-09,Castilla y León,,autonomous_community,CL,40,0,,2,
2020-03-08,Castilla y León,,autonomous_community,CL,30,0,,2,
2020-03-07,Castilla y León,,autonomous_community,CL,21,,,,
2020-03-06,Castilla y León,,autonomous_community,CL,14,,,,
2020-03-05,Castilla y León,,autonomous_community,CL,13,,,,
2020-03-04,Castilla y León,,autonomous_community,CL,12,,,,
2020-03-03,Castilla y León,,autonomous_community,CL,8,,,,
2020-03-02,Castilla y León,,autonomous_community,CL,7,,,,
2020-03-01,Castilla y León,,autonomous_community,CL,2,,,,
2020-02-29,Castilla y León,,autonomous_community,CL,2,,,,
2020-02-28,Castilla y León,,autonomous_community,CL,2,,,,
2020-02-27,Castilla y León,,autonomous_community,CL,0,,,,
2020-02-26,Castilla y León,,autonomous_community,CL,0,,,,
2020-02-25,Castilla y León,,autonomous_community,CL,0,,,,
2020-02-24,Castilla y León,,autonomous_community,CL,0,,,,
2020-02-23,Castilla y León,,autonomous_community,CL,0,,,,
2020-02-22,Castilla y León,,autonomous_community,CL,0,,,,
2020-02-21,Castilla y León,,autonomous_community,CL,0,,,,
2020-02-20,Castilla y León,,autonomous_community,CL,0,,,,
