date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-05-07,Islas Baleares,,autonomous_community,IB,1935,202,1135,168,1374
2020-05-06,Islas Baleares,,autonomous_community,IB,1929,201,1132,168,1345
2020-05-05,Islas Baleares,,autonomous_community,IB,1921,199,1122,168,1321
2020-05-04,Islas Baleares,,autonomous_community,IB,1910,198,1110,168,1307
2020-05-03,Islas Baleares,,autonomous_community,IB,1908,197,1102,167,1294
2020-05-02,Islas Baleares,,autonomous_community,IB,1908,197,1099,167,1284
2020-05-01,Islas Baleares,,autonomous_community,IB,1902,197,1094,167,1268
2020-04-30,Islas Baleares,,autonomous_community,IB,1894,193,1090,167,1245
2020-04-29,Islas Baleares,,autonomous_community,IB,1883,188,1082,167,1219
2020-04-28,Islas Baleares,,autonomous_community,IB,1879,185,1079,166,1196
2020-04-27,Islas Baleares,,autonomous_community,IB,1870,181,1074,166,1166
2020-04-26,Islas Baleares,,autonomous_community,IB,1859,179,1062,166,1136
2020-04-25,Islas Baleares,,autonomous_community,IB,1854,175,1062,166,1123
2020-04-24,Islas Baleares,,autonomous_community,IB,1847,174,1058,166,1102
2020-04-23,Islas Baleares,,autonomous_community,IB,1821,172,1040,166,1081
2020-04-22,Islas Baleares,,autonomous_community,IB,1807,168,1022,167,1047
2020-04-21,Islas Baleares,,autonomous_community,IB,1788,164,1005,166,1017
2020-04-20,Islas Baleares,,autonomous_community,IB,1767,161,986,161,1005
2020-04-19,Islas Baleares,,autonomous_community,IB,1749,157,963,161,1005
2020-04-18,Islas Baleares,,autonomous_community,IB,1740,155,955,160,993
2020-04-17,Islas Baleares,,autonomous_community,IB,1724,148,937,157,958
2020-04-16,Islas Baleares,,autonomous_community,IB,1668,134,905,152,938
2020-04-15,Islas Baleares,,autonomous_community,IB,1637,131,872,152,918
2020-04-14,Islas Baleares,,autonomous_community,IB,1606,125,857,149,881
2020-04-13,Islas Baleares,,autonomous_community,IB,1571,118,826,145,871
2020-04-12,Islas Baleares,,autonomous_community,IB,1550,117,811,143,862
2020-04-11,Islas Baleares,,autonomous_community,IB,1534,112,805,142,848
2020-04-10,Islas Baleares,,autonomous_community,IB,1507,102,778,137,757
2020-04-09,Islas Baleares,,autonomous_community,IB,1488,97,777,136,737
2020-04-08,Islas Baleares,,autonomous_community,IB,1448,89,751,132,696
2020-04-07,Islas Baleares,,autonomous_community,IB,1412,89,731,129,616
2020-04-06,Islas Baleares,,autonomous_community,IB,1369,84,705,124,537
2020-04-05,Islas Baleares,,autonomous_community,IB,1320,81,683,121,531
2020-04-04,Islas Baleares,,autonomous_community,IB,1293,75,664,120,461
2020-04-03,Islas Baleares,,autonomous_community,IB,1271,71,634,114,422
