date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-04-10,País Vasco,,autonomous_community,PV,10515,765,5402,453,4741
2020-04-09,País Vasco,,autonomous_community,PV,10103,729,5290,442,4680
2020-04-08,País Vasco,,autonomous_community,PV,9806,689,5130,433,4514
2020-04-07,País Vasco,,autonomous_community,PV,9452,635,4982,430,4151
2020-04-06,País Vasco,,autonomous_community,PV,9021,586,4856,417,3728
2020-04-05,País Vasco,,autonomous_community,PV,8810,548,4794,410,3568
2020-04-04,País Vasco,,autonomous_community,PV,8628,515,4666,404,3405
2020-04-03,País Vasco,,autonomous_community,PV,8187,477,4522,377,3098
2020-04-02,País Vasco,,autonomous_community,PV,7827,444,4283,363,2809
2020-04-01,País Vasco,,autonomous_community,PV,7317,412,4087,344,2490
2020-03-31,País Vasco,,autonomous_community,PV,6838,369,3806,324,2165
2020-03-30,País Vasco,,autonomous_community,PV,6320,325,3594,307,1796
2020-03-29,País Vasco,,autonomous_community,PV,6057,297,3427,293,1646
2020-03-28,País Vasco,,autonomous_community,PV,5740,265,3106,271,1503
2020-03-27,País Vasco,,autonomous_community,PV,5136,241,2612,176,1023
2020-03-26,País Vasco,,autonomous_community,PV,4601,207,2270,154,814
2020-03-25,País Vasco,,autonomous_community,PV,3946,180,1907,137,621
2020-03-24,País Vasco,,autonomous_community,PV,3271,155,1577,119,466
2020-03-23,País Vasco,,autonomous_community,PV,2728,133,1425,106,344
2020-03-22,País Vasco,,autonomous_community,PV,2421,120,1252,92,283
2020-03-21,País Vasco,,autonomous_community,PV,2097,97,988,81,216
2020-03-20,País Vasco,,autonomous_community,PV,1725,85,654,71,165
2020-03-19,País Vasco,,autonomous_community,PV,1465,71,550,53,21
2020-03-18,País Vasco,,autonomous_community,PV,1190,53,455,44,18
2020-03-17,País Vasco,,autonomous_community,PV,973,40,353,37,14
2020-03-16,País Vasco,,autonomous_community,PV,765,36,309,33,11
2020-03-15,País Vasco,,autonomous_community,PV,630,23,262,29,5
2020-03-14,País Vasco,,autonomous_community,PV,630,23,262,29,5
2020-03-13,País Vasco,,autonomous_community,PV,521,14,179,22,5
2020-03-12,País Vasco,,autonomous_community,PV,417,14,179,20,2
2020-03-11,País Vasco,,autonomous_community,PV,346,11,146,18,1
2020-03-10,País Vasco,,autonomous_community,PV,225,6,102,15,2
2020-03-09,País Vasco,,autonomous_community,PV,195,6,,5,2
2020-03-08,País Vasco,,autonomous_community,PV,149,6,,5,2
2020-03-07,País Vasco,,autonomous_community,PV,70,,,,
2020-03-06,País Vasco,,autonomous_community,PV,45,,,,
2020-03-05,País Vasco,,autonomous_community,PV,45,,,,
2020-03-04,País Vasco,,autonomous_community,PV,17,,,,
2020-03-03,País Vasco,,autonomous_community,PV,17,,,,
2020-03-02,País Vasco,,autonomous_community,PV,13,,,,
2020-03-01,País Vasco,,autonomous_community,PV,9,,,,
2020-02-29,País Vasco,,autonomous_community,PV,3,,,,
2020-02-28,País Vasco,,autonomous_community,PV,2,,,,
2020-02-27,País Vasco,,autonomous_community,PV,,,,,
2020-02-26,País Vasco,,autonomous_community,PV,,,,,
2020-02-25,País Vasco,,autonomous_community,PV,,,,,
2020-02-24,País Vasco,,autonomous_community,PV,,,,,
2020-02-23,País Vasco,,autonomous_community,PV,,,,,
2020-02-22,País Vasco,,autonomous_community,PV,,,,,
2020-02-21,País Vasco,,autonomous_community,PV,,,,,
2020-02-20,País Vasco,,autonomous_community,PV,,,,,
