date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-05-07,Comunidad de Madrid,,autonomous_community,MD,64333,8504,41159,3485,38670
2020-05-06,Comunidad de Madrid,,autonomous_community,MD,64185,8504,41159,3485,38670
2020-05-05,Comunidad de Madrid,,autonomous_community,MD,63969,8466,41031,3465,38331
2020-05-04,Comunidad de Madrid,,autonomous_community,MD,63676,8420,40851,3442,38002
2020-05-03,Comunidad de Madrid,,autonomous_community,MD,63368,8376,40741,3431,37808
2020-05-02,Comunidad de Madrid,,autonomous_community,MD,63260,8332,40597,3421,37704
2020-05-01,Comunidad de Madrid,,autonomous_community,MD,63147,8292,40457,3404,37530
2020-04-30,Comunidad de Madrid,,autonomous_community,MD,63033,8222,40293,3392,37154
2020-04-29,Comunidad de Madrid,,autonomous_community,MD,62773,8176,40076,3377,36707
2020-04-28,Comunidad de Madrid,,autonomous_community,MD,62435,8105,39850,3355,36314
2020-04-27,Comunidad de Madrid,,autonomous_community,MD,61970,8048,39634,3338,35841
2020-04-26,Comunidad de Madrid,,autonomous_community,MD,61391,7986,39472,3309,35565
2020-04-25,Comunidad de Madrid,,autonomous_community,MD,61262,7922,5892,873,35367
2020-04-24,Comunidad de Madrid,,autonomous_community,MD,61034,7848,6183,892,34902
2020-04-23,Comunidad de Madrid,,autonomous_community,MD,60525,7765,6601,949,34212
2020-04-22,Comunidad de Madrid,,autonomous_community,MD,60106,7684,7077,981,33645
2020-04-21,Comunidad de Madrid,,autonomous_community,MD,59428,7577,7464,1024,33032
2020-04-20,Comunidad de Madrid,,autonomous_community,MD,58840,7460,7930,1076,32277
2020-04-19,Comunidad de Madrid,,autonomous_community,MD,58233,7351,8191,1111,31762
2020-04-18,Comunidad de Madrid,,autonomous_community,MD,58027,7239,8291,1123,31313
2020-04-17,Comunidad de Madrid,,autonomous_community,MD,57543,7132,8597,1094,30475
2020-04-16,Comunidad de Madrid,,autonomous_community,MD,56739,7007,9141,1154,29436
2020-04-15,Comunidad de Madrid,,autonomous_community,MD,55905,6877,9653,1206,28491
2020-04-14,Comunidad de Madrid,,autonomous_community,MD,55014,6724,10116,1244,27433
2020-04-13,Comunidad de Madrid,,autonomous_community,MD,53944,6568,10753,1299,26247
2020-04-12,Comunidad de Madrid,,autonomous_community,MD,52974,6423,11233,1327,25385
2020-04-11,Comunidad de Madrid,,autonomous_community,MD,52637,6278,11424,1332,24683
2020-04-10,Comunidad de Madrid,,autonomous_community,MD,52106,6084,11894,1376,23663
2020-04-09,Comunidad de Madrid,,autonomous_community,MD,51256,5972,12432,1399,22414
2020-04-08,Comunidad de Madrid,,autonomous_community,MD,50318,5800,12853,1433,21121
2020-04-07,Comunidad de Madrid,,autonomous_community,MD,48911,5586,13289,1450,19836
2020-04-06,Comunidad de Madrid,,autonomous_community,MD,47534,5371,13950,1494,18410
2020-04-05,Comunidad de Madrid,,autonomous_community,MD,45989,5136,14501,1510,17322
2020-04-04,Comunidad de Madrid,,autonomous_community,MD,45469,4941,14551,1499,16543
2020-04-03,Comunidad de Madrid,,autonomous_community,MD,44586,4723,14741,1498,15362
2020-04-02,Comunidad de Madrid,,autonomous_community,MD,42869,4483,15050,1506,13850
2020-04-01,Comunidad de Madrid,,autonomous_community,MD,41056,4175,15227,1528,12400
2020-03-31,Comunidad de Madrid,,autonomous_community,MD,39285,3865,15227,1514,10827
2020-03-30,Comunidad de Madrid,,autonomous_community,MD,37488,3603,15140,1514,9330
2020-03-29,Comunidad de Madrid,,autonomous_community,MD,34944,3392,14917,1460,8301
2020-03-28,Comunidad de Madrid,,autonomous_community,MD,34073,3082,14454,1429,7491
2020-03-27,Comunidad de Madrid,,autonomous_community,MD,33054,2757,14211,1404,6326
2020-03-26,Comunidad de Madrid,,autonomous_community,MD,30698,2412,13580,1312,5044
2020-03-25,Comunidad de Madrid,,autonomous_community,MD,27332,2090,12440,1221,3882
2020-03-24,Comunidad de Madrid,,autonomous_community,MD,24394,1825,11153,1150,3031
2020-03-23,Comunidad de Madrid,,autonomous_community,MD,21515,1535,10443,1050,2291
2020-03-22,Comunidad de Madrid,,autonomous_community,MD,18848,1263,9561,942,2063
2020-03-21,Comunidad de Madrid,,autonomous_community,MD,17346,1021,8441,834,1899
2020-03-20,Comunidad de Madrid,,autonomous_community,MD,15676,804,7388,767,1542
2020-03-19,Comunidad de Madrid,,autonomous_community,MD,13353,628,6338,678,1186
2020-03-18,Comunidad de Madrid,,autonomous_community,MD,11309,498,5168,590,941
2020-03-17,Comunidad de Madrid,,autonomous_community,MD,9560,390,3778,491,951
2020-03-16,Comunidad de Madrid,,autonomous_community,MD,7614,355,3710,340,951
2020-03-15,Comunidad de Madrid,,autonomous_community,MD,6355,213,2337,253,474
2020-03-14,Comunidad de Madrid,,autonomous_community,MD,5543,213,2337,253,474
2020-03-13,Comunidad de Madrid,,autonomous_community,MD,4644,86,1518,180,474
2020-03-12,Comunidad de Madrid,,autonomous_community,MD,3704,81,1304,180,157
2020-03-11,Comunidad de Madrid,,autonomous_community,MD,2922,56,0,135,157
2020-03-10,Comunidad de Madrid,,autonomous_community,MD,2198,31,0,102,157
2020-03-09,Comunidad de Madrid,,autonomous_community,MD,1495,21,,77,109
2020-03-08,Comunidad de Madrid,,autonomous_community,MD,992,16,,53,
2020-03-07,Comunidad de Madrid,,autonomous_community,MD,729,,,,
2020-03-06,Comunidad de Madrid,,autonomous_community,MD,508,,,,
2020-03-05,Comunidad de Madrid,,autonomous_community,MD,305,,,,
2020-03-04,Comunidad de Madrid,,autonomous_community,MD,193,,,,
2020-03-03,Comunidad de Madrid,,autonomous_community,MD,139,,,,
2020-03-02,Comunidad de Madrid,,autonomous_community,MD,93,,,,
2020-03-01,Comunidad de Madrid,,autonomous_community,MD,51,,,,
2020-02-29,Comunidad de Madrid,,autonomous_community,MD,26,,,,
2020-02-28,Comunidad de Madrid,,autonomous_community,MD,19,,,,
2020-02-27,Comunidad de Madrid,,autonomous_community,MD,9,,,,
2020-02-26,Comunidad de Madrid,,autonomous_community,MD,5,,,,
2020-02-25,Comunidad de Madrid,,autonomous_community,MD,1,,,,
2020-02-24,Comunidad de Madrid,,autonomous_community,MD,0,,,,
2020-02-23,Comunidad de Madrid,,autonomous_community,MD,0,,,,
2020-02-22,Comunidad de Madrid,,autonomous_community,MD,0,,,,
2020-02-21,Comunidad de Madrid,,autonomous_community,MD,0,,,,
2020-02-20,Comunidad de Madrid,,autonomous_community,MD,0,,,,
