date,region,city,place_type,iso,cases,deaths,hospitalized,critical
2020-05-20,Extremadura,,autonomous_community,EX,4043,505,1780,110
2020-05-19,Extremadura,,autonomous_community,EX,4041,504,1780,110
2020-05-18,Extremadura,,autonomous_community,EX,4039,504,1779,110
2020-05-17,Extremadura,,autonomous_community,EX,3949,500,1775,110
2020-05-16,Extremadura,,autonomous_community,EX,3948,500,1775,110
2020-05-15,Extremadura,,autonomous_community,EX,3945,497,1772,109
2020-05-14,Extremadura,,autonomous_community,EX,3934,494,1772,109
2020-05-13,Extremadura,,autonomous_community,EX,3926,492,1761,109
2020-05-12,Extremadura,,autonomous_community,EX,3922,489,1754,109
2020-05-11,Extremadura,,autonomous_community,EX,3920,487,1737,109
2020-05-10,Extremadura,,autonomous_community,EX,3919,483,1725,109
2020-05-09,Extremadura,,autonomous_community,EX,3903,480,1711,109
2020-05-08,Extremadura,,autonomous_community,EX,3886,477,1695,109
2020-05-07,Extremadura,,autonomous_community,EX,3853,472,1678,109
2020-05-06,Extremadura,,autonomous_community,EX,3808,467,1664,108
2020-05-05,Extremadura,,autonomous_community,EX,3746,463,1650,108
2020-05-04,Extremadura,,autonomous_community,EX,3728,462,1629,108
2020-05-03,Extremadura,,autonomous_community,EX,3722,460,1618,108
2020-05-02,Extremadura,,autonomous_community,EX,3712,460,1603,108
2020-05-01,Extremadura,,autonomous_community,EX,3690,458,1592,108
2020-04-30,Extremadura,,autonomous_community,EX,3630,451,1565,108
2020-04-29,Extremadura,,autonomous_community,EX,3538,446,1550,108
2020-04-28,Extremadura,,autonomous_community,EX,3513,440,1526,107
2020-04-27,Extremadura,,autonomous_community,EX,3487,433,1505,107
2020-04-26,Extremadura,,autonomous_community,EX,3480,428,1490,107
2020-04-25,Extremadura,,autonomous_community,EX,3465,422,1480,107
2020-04-24,Extremadura,,autonomous_community,EX,3458,416,1447,107
2020-04-23,Extremadura,,autonomous_community,EX,3403,411,1413,107
2020-04-22,Extremadura,,autonomous_community,EX,3366,407,1375,107
2020-04-21,Extremadura,,autonomous_community,EX,3243,404,1349,107
2020-04-20,Extremadura,,autonomous_community,EX,3243,397,1327,107
2020-04-19,Extremadura,,autonomous_community,EX,3243,389,1306,107
2020-04-18,Extremadura,,autonomous_community,EX,3192,384,1278,107
2020-04-17,Extremadura,,autonomous_community,EX,3131,380,1240,107
2020-04-16,Extremadura,,autonomous_community,EX,3019,372,1212,107
2020-04-15,Extremadura,,autonomous_community,EX,2881,359,1186,107
2020-04-14,Extremadura,,autonomous_community,EX,,342,1155,107
2020-04-13,Extremadura,,autonomous_community,EX,,334,1114,107
2020-04-12,Extremadura,,autonomous_community,EX,,321,1096,107
2020-04-11,Extremadura,,autonomous_community,EX,,312,1074,106
2020-04-10,Extremadura,,autonomous_community,EX,,303,1052,104
2020-04-09,Extremadura,,autonomous_community,EX,,288,1003,101
2020-04-08,Extremadura,,autonomous_community,EX,,283,958,99
2020-04-07,Extremadura,,autonomous_community,EX,,271,852,98
2020-04-06,Extremadura,,autonomous_community,EX,,258,817,96
2020-04-05,Extremadura,,autonomous_community,EX,,228,808,93
2020-04-04,Extremadura,,autonomous_community,EX,,218,768,91
2020-04-03,Extremadura,,autonomous_community,EX,,208,747,88
2020-04-02,Extremadura,,autonomous_community,EX,,200,706,85
2020-04-01,Extremadura,,autonomous_community,EX,,181,649,83
2020-03-31,Extremadura,,autonomous_community,EX,,152,600,82
2020-03-30,Extremadura,,autonomous_community,EX,,133,561,77
2020-03-29,Extremadura,,autonomous_community,EX,,106,505,71
2020-03-28,Extremadura,,autonomous_community,EX,,100,467,67
2020-03-27,Extremadura,,autonomous_community,EX,,88,406,58
2020-03-26,Extremadura,,autonomous_community,EX,,69,344,54
2020-03-25,Extremadura,,autonomous_community,EX,,58,291,52
2020-03-24,Extremadura,,autonomous_community,EX,,39,217,48
2020-03-23,Extremadura,,autonomous_community,EX,,26,113,40
2020-03-22,Extremadura,,autonomous_community,EX,,18,105,33
2020-03-21,Extremadura,,autonomous_community,EX,,14,97,24
2020-03-20,Extremadura,,autonomous_community,EX,,12,67,13
2020-03-19,Extremadura,,autonomous_community,EX,,10,50,12
2020-03-18,Extremadura,,autonomous_community,EX,,8,33,9
2020-03-17,Extremadura,,autonomous_community,EX,,6,22,6
2020-03-16,Extremadura,,autonomous_community,EX,,3,13,5
2020-03-15,Extremadura,,autonomous_community,EX,,2,9,2
2020-03-14,Extremadura,,autonomous_community,EX,,2,7,1
2020-03-13,Extremadura,,autonomous_community,EX,,2,3,1
2020-03-12,Extremadura,,autonomous_community,EX,,1,3,1
2020-03-11,Extremadura,,autonomous_community,EX,,1,3,1
2020-03-10,Extremadura,,autonomous_community,EX,,1,1,1
2020-03-09,Extremadura,,autonomous_community,EX,,0,,0
2020-03-08,Extremadura,,autonomous_community,EX,,0,,0
2020-03-07,Extremadura,,autonomous_community,EX,,,,
2020-03-06,Extremadura,,autonomous_community,EX,,,,
2020-03-05,Extremadura,,autonomous_community,EX,,,,
2020-03-04,Extremadura,,autonomous_community,EX,,,,
2020-03-03,Extremadura,,autonomous_community,EX,,,,
2020-03-02,Extremadura,,autonomous_community,EX,,,,
2020-03-01,Extremadura,,autonomous_community,EX,,,,
2020-02-29,Extremadura,,autonomous_community,EX,,,,
2020-02-28,Extremadura,,autonomous_community,EX,,,,
2020-02-27,Extremadura,,autonomous_community,EX,,,,
2020-02-26,Extremadura,,autonomous_community,EX,,,,
