date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-05-10,Castilla La Mancha,,autonomous_community,CM,23869,2786,8918,624,6172
2020-05-09,Castilla La Mancha,,autonomous_community,CM,23662,2759,8895,623,6129
2020-05-08,Castilla La Mancha,,autonomous_community,CM,23293,2738,8867,621,6062
2020-05-07,Castilla La Mancha,,autonomous_community,CM,22908,2713,8828,617,5981
2020-05-06,Castilla La Mancha,,autonomous_community,CM,22567,2677,8796,613,5895
2020-05-05,Castilla La Mancha,,autonomous_community,CM,22166,2647,8765,612,5862
2020-05-04,Castilla La Mancha,,autonomous_community,CM,21656,2616,8725,609,5824
2020-05-03,Castilla La Mancha,,autonomous_community,CM,21511,2590,8698,606,5794
2020-05-02,Castilla La Mancha,,autonomous_community,CM,21290,2565,8676,604,5772
2020-05-01,Castilla La Mancha,,autonomous_community,CM,21023,2534,8645,601,5702
2020-04-30,Castilla La Mancha,,autonomous_community,CM,20516,2498,8618,596,5615
2020-04-29,Castilla La Mancha,,autonomous_community,CM,20071,2463,8567,592,5512
2020-04-28,Castilla La Mancha,,autonomous_community,CM,19795,2436,8523,588,5382
2020-04-27,Castilla La Mancha,,autonomous_community,CM,19518,2396,8464,584,5306
2020-04-26,Castilla La Mancha,,autonomous_community,CM,19286,2365,8444,579,5282
2020-04-25,Castilla La Mancha,,autonomous_community,CM,18995,2330,8417,565,5196
2020-04-24,Castilla La Mancha,,autonomous_community,CM,18525,2292,8385,559,4876
2020-04-23,Castilla La Mancha,,autonomous_community,CM,18053,2255,8342,553,4782
2020-04-22,Castilla La Mancha,,autonomous_community,CM,17557,2188,8304,546,4577
2020-04-21,Castilla La Mancha,,autonomous_community,CM,17321,2140,8243,537,4337
2020-04-20,Castilla La Mancha,,autonomous_community,CM,17045,2075,8199,534,4242
2020-04-19,Castilla La Mancha,,autonomous_community,CM,16796,2021,8173,531,4178
2020-04-18,Castilla La Mancha,,autonomous_community,CM,16625,1963,8137,518,3963
2020-04-17,Castilla La Mancha,,autonomous_community,CM,,1913,8093,514,3838
2020-04-16,Castilla La Mancha,,autonomous_community,CM,,1852,8018,511,3600
2020-04-15,Castilla La Mancha,,autonomous_community,CM,,1796,7987,503,3378
2020-04-14,Castilla La Mancha,,autonomous_community,CM,,1755,7896,495,2998
2020-04-13,Castilla La Mancha,,autonomous_community,CM,,1714,7830,486,2943
2020-04-12,Castilla La Mancha,,autonomous_community,CM,,1626,7782,475,2532
2020-04-11,Castilla La Mancha,,autonomous_community,CM,,1543,6838,316,2365
2020-04-10,Castilla La Mancha,,autonomous_community,CM,,1483,2198,316,2205
2020-04-09,Castilla La Mancha,,autonomous_community,CM,,1431,2359,329,1982
2020-04-08,Castilla La Mancha,,autonomous_community,CM,,1322,2575,342,1766
2020-04-07,Castilla La Mancha,,autonomous_community,CM,,1255,2731,354,1557
2020-04-06,Castilla La Mancha,,autonomous_community,CM,,1177,2908,360,1353
2020-04-05,Castilla La Mancha,,autonomous_community,CM,,1132,2901,354,1259
2020-04-04,Castilla La Mancha,,autonomous_community,CM,,1055,2950,357,1149
2020-04-03,Castilla La Mancha,,autonomous_community,CM,,989,3133,360,657
2020-04-02,Castilla La Mancha,,autonomous_community,CM,,916,3168,355,579
2020-04-01,Castilla La Mancha,,autonomous_community,CM,,854,3230,355,494
2020-03-31,Castilla La Mancha,,autonomous_community,CM,,774,3230,353,397
2020-03-30,Castilla La Mancha,,autonomous_community,CM,,708,3225,344,296
2020-03-29,Castilla La Mancha,,autonomous_community,CM,,622,3134,302,252
2020-03-28,Castilla La Mancha,,autonomous_community,CM,,539,3018,299,236
2020-03-27,Castilla La Mancha,,autonomous_community,CM,,448,2977,289,197
2020-03-26,Castilla La Mancha,,autonomous_community,CM,,367,2707,273,153
