date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-05-16,Galicia,,autonomous_community,GA,10960,606,2926,332,9155
2020-05-15,Galicia,,autonomous_community,GA,10934,604,2923,332,8820
2020-05-14,Galicia,,autonomous_community,GA,10605,603,2921,332,8283
2020-05-13,Galicia,,autonomous_community,GA,10545,603,2915,327,8157
2020-05-12,Galicia,,autonomous_community,GA,10495,599,2909,327,7996
2020-05-11,Galicia,,autonomous_community,GA,10449,598,2905,326,7820
2020-05-10,Galicia,,autonomous_community,GA,10388,597,2902,326,7444
2020-05-09,Galicia,,autonomous_community,GA,10370,596,2886,325,7347
2020-05-08,Galicia,,autonomous_community,GA,10322,595,2876,323,7225
2020-05-07,Galicia,,autonomous_community,GA,10221,592,2852,321,7138
2020-05-06,Galicia,,autonomous_community,GA,10077,591,2833,320,6959
2020-05-05,Galicia,,autonomous_community,GA,9996,588,2811,319,6802
2020-05-04,Galicia,,autonomous_community,GA,9783,579,2792,317,6561
2020-05-03,Galicia,,autonomous_community,GA,9707,575,2782,315,6234
2020-05-02,Galicia,,autonomous_community,GA,9685,569,2774,315,6075
2020-05-01,Galicia,,autonomous_community,GA,9652,563,2769,313,5981
2020-04-30,Galicia,,autonomous_community,GA,9617,558,2759,313,5816
2020-04-29,Galicia,,autonomous_community,GA,9579,551,2747,310,5573
2020-04-28,Galicia,,autonomous_community,GA,9484,551,2736,308,5393
2020-04-27,Galicia,,autonomous_community,GA,,412,2734,305,1841
2020-04-26,Galicia,,autonomous_community,GA,,405,2728,304,1816
2020-04-25,Galicia,,autonomous_community,GA,,394,2724,303,1803
2020-04-24,Galicia,,autonomous_community,GA,,388,2717,302,1783
2020-04-23,Galicia,,autonomous_community,GA,,382,2707,301,1730
2020-04-22,Galicia,,autonomous_community,GA,,375,2694,298,1676
2020-04-21,Galicia,,autonomous_community,GA,,368,2674,297,1625
2020-04-20,Galicia,,autonomous_community,GA,,360,2652,296,1588
2020-04-19,Galicia,,autonomous_community,GA,,352,2609,296,1548
2020-04-18,Galicia,,autonomous_community,GA,,346,2590,294,1536
2020-04-17,Galicia,,autonomous_community,GA,,334,2554,291,1507
2020-04-16,Galicia,,autonomous_community,GA,,320,2535,290,1456
2020-04-15,Galicia,,autonomous_community,GA,,310,2494,282,1383
2020-04-14,Galicia,,autonomous_community,GA,,299,2471,282,1298
