date,region,city,place_type,iso,cases,deaths,hospitalized,critical
2020-05-20,Canarias,,autonomous_community,CN,2307,155,944,179
2020-05-19,Canarias,,autonomous_community,CN,2300,155,943,179
2020-05-18,Canarias,,autonomous_community,CN,2294,155,942,178
2020-05-17,Canarias,,autonomous_community,CN,2294,153,942,178
2020-05-16,Canarias,,autonomous_community,CN,2289,151,939,178
2020-05-15,Canarias,,autonomous_community,CN,2284,151,939,178
2020-05-14,Canarias,,autonomous_community,CN,2280,151,938,178
2020-05-13,Canarias,,autonomous_community,CN,2275,151,937,178
2020-05-12,Canarias,,autonomous_community,CN,2271,151,937,178
2020-05-11,Canarias,,autonomous_community,CN,2268,151,937,178
2020-05-10,Canarias,,autonomous_community,CN,2260,149,936,178
2020-05-09,Canarias,,autonomous_community,CN,2258,148,935,178
2020-05-08,Canarias,,autonomous_community,CN,2250,148,935,178
2020-05-07,Canarias,,autonomous_community,CN,,148,927,176
2020-05-06,Canarias,,autonomous_community,CN,2235,144,921,176
2020-05-05,Canarias,,autonomous_community,CN,2231,143,920,176
2020-05-04,Canarias,,autonomous_community,CN,2231,142,920,176
2020-05-03,Canarias,,autonomous_community,CN,2225,141,919,175
2020-05-02,Canarias,,autonomous_community,CN,2221,140,919,175
2020-05-01,Canarias,,autonomous_community,CN,2212,140,918,175
2020-04-30,Canarias,,autonomous_community,CN,2206,136,914,175
2020-04-29,Canarias,,autonomous_community,CN,2205,135,909,175
2020-04-28,Canarias,,autonomous_community,CN,2202,134,906,175
2020-04-27,Canarias,,autonomous_community,CN,2187,133,900,174
2020-04-26,Canarias,,autonomous_community,CN,2178,131,881,171
2020-04-25,Canarias,,autonomous_community,CN,2167,131,880,171
2020-04-24,Canarias,,autonomous_community,CN,2155,130,878,171
2020-04-23,Canarias,,autonomous_community,CN,2140,128,868,169
2020-04-22,Canarias,,autonomous_community,CN,2113,121,855,169
2020-04-21,Canarias,,autonomous_community,CN,2094,121,841,164
2020-04-20,Canarias,,autonomous_community,CN,2085,120,837,164
2020-04-19,Canarias,,autonomous_community,CN,2067,119,826,163
2020-04-18,Canarias,,autonomous_community,CN,2047,119,825,162
2020-04-17,Canarias,,autonomous_community,CN,2035,115,822,160
2020-04-16,Canarias,,autonomous_community,CN,2009,111,811,159
2020-04-15,Canarias,,autonomous_community,CN,1988,107,802,156
2020-04-14,Canarias,,autonomous_community,CN,,104,781,152
2020-04-13,Canarias,,autonomous_community,CN,,102,771,147
2020-04-12,Canarias,,autonomous_community,CN,,96,763,145
2020-04-11,Canarias,,autonomous_community,CN,,95,758,144
2020-04-10,Canarias,,autonomous_community,CN,,95,745,144
2020-04-09,Canarias,,autonomous_community,CN,,94,738,141
2020-04-08,Canarias,,autonomous_community,CN,,92,730,140
2020-04-07,Canarias,,autonomous_community,CN,,91,703,138
2020-04-06,Canarias,,autonomous_community,CN,,89,689,137
2020-04-05,Canarias,,autonomous_community,CN,,85,651,133
2020-04-04,Canarias,,autonomous_community,CN,,80,644,129
2020-04-03,Canarias,,autonomous_community,CN,,78,632,128
2020-04-02,Canarias,,autonomous_community,CN,,73,605,120
2020-04-01,Canarias,,autonomous_community,CN,,68,566,113
2020-03-31,Canarias,,autonomous_community,CN,,62,532,110
2020-03-30,Canarias,,autonomous_community,CN,,55,483,94
2020-03-29,Canarias,,autonomous_community,CN,,40,444,84
2020-03-28,Canarias,,autonomous_community,CN,,39,425,78
2020-03-27,Canarias,,autonomous_community,CN,,36,377,68
2020-03-26,Canarias,,autonomous_community,CN,,27,328,61
2020-03-25,Canarias,,autonomous_community,CN,,24,279,45
2020-03-24,Canarias,,autonomous_community,CN,,21,235,43
2020-03-23,Canarias,,autonomous_community,CN,,16,207,36
2020-03-22,Canarias,,autonomous_community,CN,,11,172,32
2020-03-21,Canarias,,autonomous_community,CN,,9,150,32
2020-03-20,Canarias,,autonomous_community,CN,,7,139,29
2020-03-19,Canarias,,autonomous_community,CN,,4,115,25
2020-03-18,Canarias,,autonomous_community,CN,,3,82,23
2020-03-17,Canarias,,autonomous_community,CN,,3,73,17
2020-03-16,Canarias,,autonomous_community,CN,,2,56,13
2020-03-15,Canarias,,autonomous_community,CN,,1,40,9
2020-03-14,Canarias,,autonomous_community,CN,,1,15,6
2020-03-13,Canarias,,autonomous_community,CN,,1,15,6
2020-03-12,Canarias,,autonomous_community,CN,,0,15,3
2020-03-11,Canarias,,autonomous_community,CN,,0,15,3
2020-03-10,Canarias,,autonomous_community,CN,,0,10,1
2020-03-09,Canarias,,autonomous_community,CN,,0,,1
2020-03-08,Canarias,,autonomous_community,CN,,0,,0
2020-03-07,Canarias,,autonomous_community,CN,,,,
2020-03-06,Canarias,,autonomous_community,CN,,,,
2020-03-05,Canarias,,autonomous_community,CN,,,,
2020-03-04,Canarias,,autonomous_community,CN,,,,
2020-03-03,Canarias,,autonomous_community,CN,,,,
2020-03-02,Canarias,,autonomous_community,CN,,,,
2020-03-01,Canarias,,autonomous_community,CN,,,,
2020-02-29,Canarias,,autonomous_community,CN,,,,
2020-02-28,Canarias,,autonomous_community,CN,,,,
2020-02-27,Canarias,,autonomous_community,CN,,,,
2020-02-26,Canarias,,autonomous_community,CN,,,,
2020-02-25,Canarias,,autonomous_community,CN,,,,
2020-02-24,Canarias,,autonomous_community,CN,,,,
2020-02-23,Canarias,,autonomous_community,CN,,,,
2020-02-22,Canarias,,autonomous_community,CN,,,,
2020-02-21,Canarias,,autonomous_community,CN,,,,
2020-02-20,Canarias,,autonomous_community,CN,,,,
